group_key,model_short,epochs,seed,freeze_layers,contexts,num_contexts,ensemble_method,macro_f1,accuracy
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1,2,mean_logits,0.6602436714127777,0.6901274491154651
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1,2,majority_vote,0.6593655997756147,0.6891763363134867
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C2,2,mean_logits,0.6622820003914299,0.693551455202587
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C2,2,majority_vote,0.6610957627305667,0.6931710100817957
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C3,2,mean_logits,0.6710173025028878,0.7030625832223701
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C3,2,majority_vote,0.6682734756041921,0.7015408027392048
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C2,2,mean_logits,0.6628435945349778,0.690698116796652
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C2,2,majority_vote,0.6622761987264479,0.6901274491154651
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C3,2,mean_logits,0.6680684415278303,0.7009701350580179
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C3,2,majority_vote,0.6670219901853626,0.7000190222560395
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C2+C3,2,mean_logits,0.6727080951851238,0.7047745862659311
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C2+C3,2,majority_vote,0.6698228905218655,0.7034430283431615
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C2,3,mean_logits,0.6662217409206839,0.6967852387293133
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C2,3,majority_vote,0.662065411281926,0.6927905649610043
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C3,3,mean_logits,0.6729094042433954,0.7049648088263268
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C3,3,majority_vote,0.6668007236866325,0.6981167966520829
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C2+C3,3,mean_logits,0.6764179201672526,0.7076279246718661
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C2+C3,3,majority_vote,0.6689595160192082,0.7019212478599962
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C2+C3,3,mean_logits,0.6692591437116246,0.7011603576184136
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C1+C2+C3,3,majority_vote,0.6666154089712579,0.6984972417728743
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C2+C3,4,mean_logits,0.6746530468884148,0.7064865893094922
FacebookAI-roberta-base_10epochs_seed67_freeze0,FacebookAI-roberta-base,10,67,0,C0+C1+C2+C3,4,majority_vote,0.6721098070789132,0.7038234734639528
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C1,2,mean_logits,0.6151909417730926,0.6473273730264409
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C1,2,majority_vote,0.6149502653856795,0.6473273730264409
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C2,2,mean_logits,0.6158236141201126,0.6515122693551455
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C2,2,majority_vote,0.6160390750486435,0.6518927144759369
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C3,2,mean_logits,0.6211592078562449,0.6558873882442458
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C0+C3,2,majority_vote,0.6229460902105945,0.6572189461670154
google-bert-bert-base-uncased_10epochs_seed67_freeze0,google-bert-bert-base-uncased,10,67,0,C1+C2,2,mean_logits,0.6278421071520239,0.6581700589689937
