run_name,run_type,ensemble_method,model_short,context,epochs,seed,freeze_layers,label_id,label,precision,recall,f1,support,source_file
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,0,Anger,0.6046511627906976,0.5872689938398358,0.5958333333333333,487,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,1,Cognitive dysfunction,0.42567567567567566,0.44680851063829785,0.4359861591695502,141,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,2,Emptiness,0.6834862385321101,0.5539033457249071,0.6119096509240246,269,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,3,Hopelessness,0.583941605839416,0.7350689127105666,0.6508474576271186,653,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,4,Loneliness,0.7352941176470589,0.7067137809187279,0.7207207207207207,566,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,5,No emotion,0.6678062678062678,0.781854569713142,0.7203441917639828,1499,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,6,Sadness,0.6936416184971098,0.5333333333333333,0.6030150753768844,900,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,7,Suicide intent,0.7542372881355932,0.624561403508772,0.6833013435700576,285,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C0_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C0,10,67,0,8,Worthlessness,0.7018970189701897,0.5667396061269147,0.6271186440677966,457,FacebookAI-roberta-base_C0_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,0,Anger,0.6742081447963801,0.6119096509240246,0.6415500538213132,487,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,1,Cognitive dysfunction,0.46308724832214765,0.48936170212765956,0.47586206896551725,141,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,2,Emptiness,0.6869918699186992,0.6282527881040892,0.6563106796116505,269,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,3,Hopelessness,0.6796267496111975,0.669218989280245,0.6743827160493827,653,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,4,Loneliness,0.7422680412371134,0.7632508833922261,0.7526132404181185,566,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,5,No emotion,0.7223618090452262,0.7671781187458305,0.7440957618893562,1499,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,6,Sadness,0.6299559471365639,0.6355555555555555,0.6327433628318584,900,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,7,Suicide intent,0.7453874538745388,0.7087719298245614,0.7266187050359713,285,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C1_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C1,10,67,0,8,Worthlessness,0.6367924528301887,0.5908096280087527,0.6129398410896708,457,FacebookAI-roberta-base_C1_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,0,Anger,0.7391304347826086,0.5236139630390144,0.6129807692307693,487,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,1,Cognitive dysfunction,0.45985401459854014,0.44680851063829785,0.45323741007194246,141,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,2,Emptiness,0.7069767441860465,0.5650557620817844,0.628099173553719,269,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,3,Hopelessness,0.6692546583850931,0.6600306278713629,0.6646106399383191,653,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,4,Loneliness,0.7508896797153025,0.7455830388692579,0.74822695035461,566,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
FacebookAI-roberta-base_C2_10epochs_seed67_freeze0,base,,FacebookAI-roberta-base,C2,10,67,0,5,No emotion,0.6940045248868778,0.818545697131421,0.751147842056933,1499,FacebookAI-roberta-base_C2_10epochs_seed67_freeze0\test_logits.csv
